barcode,sample_label
barcode01,AI_3
barcode02,AI_2
barcode03,AI_1
barcode04,AI_162
barcode05,AI_161
barcode06,AI_160
barcode07,AI_159
barcode08,AI_158
barcode09,AI_11
barcode10,AI_10
barcode11,AI_9
barcode12,AI_8
barcode13,AI_7
barcode14,AI_6
barcode15,AI_5
barcode16,AI_4
barcode17,AI_19
barcode18,AI_18
barcode19,AI_17
barcode20,AI_16
barcode21,AI_15
barcode22,AI_14
barcode23,AI_13
barcode24,AI_12
barcode25,AI_27
barcode26,AI_26
barcode27,AI_25
barcode28,AI_24
barcode29,AI_23
barcode30,AI_22
barcode31,AI_21
barcode32,AI_20
barcode33,AI_35
barcode34,AI_34
barcode35,AI_33
barcode36,AI_32
barcode37,AI_31
barcode38,AI_30
barcode39,AI_29
barcode40,AI_28
barcode41,AI_43
barcode42,AI_42
barcode43,AI_41
barcode44,AI_40
barcode45,AI_39
barcode46,AI_38
barcode47,AI_37
barcode48,AI_36
barcode49,AI_51
barcode50,AI_50
barcode51,AI_49
barcode52,AI_48
barcode53,AI_47
barcode54,AI_46
barcode55,AI_45
barcode56,AI_44
barcode57,AI_59
barcode58,AI_58
barcode59,AI_57
barcode60,AI_56
barcode61,AI_55
barcode62,AI_54
barcode63,AI_53
barcode64,AI_52
barcode65,AI_67
barcode66,AI_66
barcode67,AI_65
barcode68,AI_64
barcode69,AI_63
barcode70,AI_62
barcode71,AI_61
barcode72,AI_60
barcode73,AI_75
barcode74,AI_74
barcode75,AI_73
barcode76,AI_72
barcode77,AI_71
barcode78,AI_70
barcode79,AI_69
barcode80,AI_68
barcode81,pos
barcode82,neg
barcode83,AI_81
barcode84,AI_80
barcode85,AI_79
barcode86,AI_78
barcode87,AI_77
barcode88,AI_76
barcode89,AI_89
barcode90,AI_88
barcode91,AI_87
barcode92,AI_86
barcode93,AI_85
barcode94,AI_84
barcode95,AI_83
barcode96,AI_82
